Sample_ID,USCS_Label,Fines_Passing_0.075mm_pct,Passing_4.75mm_pct,D10_mm,D30_mm,D60_mm,Cu,Cc,Liquid_Limit_LL,Plastic_Limit_PL,Plasticity_Index_PI,Dataset_Split
SOIL_016,CH,90.54199649,85.86575896,0.028265263,0.073686122,0.301425991,10.66418507,0.637290843,81.02763219,39.35901486,41.66861733,Train
SOIL_017,SM,13.31453434,68.72526643,0.570008702,1.568080672,1.041772014,1.827642298,4.14078452,30.15612279,23.28447355,6.871649237,Test
SOIL_018,SC,21.49977132,96.13115656,0.410502971,1.384045155,1.112001797,2.708876369,4.196417844,40.34474009,19.38675499,20.9579851,Train
SOIL_019,GM,19.21255448,21.86473198,1.132279598,2.695892164,3.645490898,3.219603095,1.760740414,32.90283311,24.72440739,8.178425727,Test
SOIL_020,GM,12.97936001,25.196072,0.529427747,1.566445552,1.819304248,3.436359843,2.547525709,42.35770724,28.50884184,13.8488654,Train
SOIL_021,GW,2.917262987,5.565747061,1.084669998,4.671756521,9.773273576,9.01036591,2.058840569,42.48055949,38.48286892,3.997690576,Train
SOIL_022,SC,19.17135829,55.63134954,0.377725273,0.831313829,1.63828739,4.337245894,1.116770356,44.19999297,24.7181849,19.48180807,Test
SOIL_023,SP,0.854963268,85.74212613,0.402564848,1.488464872,1.442104416,3.582290961,3.816318593,24.72697592,19.50972113,5.217254789,Train
SOIL_024,CH,94.88885998,75.27154831,0.015951505,0.046949789,0.12650698,7.930723957,1.092323169,63.44169475,24.39694299,39.04475176,Validation
SOIL_025,SP,3.279000888,92.44152117,0.159394771,0.421614832,0.783177831,4.913447437,1.42395841,23.69510232,16.48341238,7.211689948,Validation
SOIL_026,CL,72.38355093,94.28854768,0.020949718,0.092527182,0.162600949,7.7614862,2.513259956,28.20662231,18.88120235,9.325419964,Test
SOIL_027,GM,16.10938187,31.34942921,1.349382536,3.021615627,4.14051984,3.068455186,1.634137065,41.11432682,31.13212099,9.98220583,Train
SOIL_028,CL,86.22495865,97.92786952,0.034478229,0.083869007,0.408034213,11.83454675,0.499990177,39.09371915,22.64811151,16.44560764,Train
SOIL_029,GC,21.00600173,10.65764636,1.516657509,2.018999846,3.051317667,2.01186995,0.880841217,41.37548259,20.86765426,20.50782834,Train
SOIL_030,SC,20.88615883,87.45491011,0.317499607,0.553330794,1.189847551,3.747555984,0.810466685,43.2624185,19.04103983,24.22137867,Train
SOIL_031,GP,2.363250124,10.30063942,0.574138895,1.440017486,1.30376068,2.270810586,2.770260968,44.0303649,40.37254886,3.657816042,Train
SOIL_032,CH,95.84952222,91.0276705,0.023738814,0.13915172,0.599586008,25.2576227,1.360400093,75.3525801,37.67631823,37.67626187,Train
SOIL_033,ML,67.87470215,73.1515184,0.007822375,0.02784524,0.086596239,11.07032624,1.144627827,48.27788196,34.42274197,13.85514,Test
SOIL_034,CL,88.63084075,93.04715516,0.043834002,0.18591616,0.320050793,7.301427656,2.463793209,45.64049967,22.23593082,23.40456885,Train
SOIL_035,SC,14.30313863,91.36925492,0.503847032,0.829106249,1.472734632,2.922979669,0.92639707,30.50525286,21.97094894,8.534303919,Train
SOIL_036,SW,1.423184335,64.64286847,0.354038741,1.161698852,2.750078113,7.767732147,1.386089592,38.29249211,29.77883034,8.513661778,Test
SOIL_037,SM,19.02752398,98.58500449,0.417334295,1.552360901,1.905151326,4.565048565,3.030901613,43.96603016,35.86871571,8.097314444,Train
SOIL_038,SM,14.73893637,84.73521374,0.55280192,1.548865645,1.287118592,2.328354056,3.371625949,33.36954337,26.04807852,7.321464856,Train
SOIL_039,GW,2.927257524,7.979431867,1.742741642,6.786961693,16.05519728,9.212608968,1.646274082,37.08330929,22.45307528,14.630234,Train
SOIL_040,CL,66.05935765,82.12589842,0.016145542,0.04636535,0.196722513,12.18432413,0.676831238,33.70505541,20.52945398,13.17560143,Validation
SOIL_041,SM,14.00257486,75.73511722,0.552930231,1.289502224,1.659168931,3.000684059,1.812521842,40.17134861,28.16913371,12.0022149,Validation
SOIL_042,SM,17.9584517,68.8766437,0.53791951,1.545915655,2.375996186,4.417010615,1.869857691,30.79958018,25.38078788,5.418792299,Train
SOIL_043,SW,1.923009095,93.91573998,0.19836955,1.092756012,3.319744899,16.73515361,1.813287582,33.14006514,30.78558299,2.354482145,Train
SOIL_044,SW,3.499766114,71.51200526,0.516019331,3.012680857,8.739546716,16.93647156,2.01257177,38.66051263,30.65524291,8.005269715,Train
SOIL_045,MH,80.32036238,81.70709238,0.0153228,0.037817548,0.135337464,8.83242359,0.689652896,61.60015499,33.30336055,28.29679445,Train
SOIL_046,CL,82.61702754,92.66363889,0.024646906,0.125114086,0.402094284,16.31418931,1.579509027,42.0462304,23.54867061,18.49755979,Train
SOIL_047,GC,13.52056935,20.39842426,0.494872027,1.159197369,1.733921436,3.503777421,1.566002504,42.56270541,23.08810879,19.47459662,Test
SOIL_048,CH,82.30172294,72.55214581,0.043059533,0.109844335,0.407877765,9.472414953,0.686998807,65.44325581,30.57410124,34.86915457,Test
SOIL_049,GM,16.11660478,46.45528779,1.771636272,4.909008949,3.039200628,1.715476634,4.475625238,26.88077192,23.93756417,2.943207747,Validation
SOIL_050,SW,4.064509078,96.96219523,0.351010682,1.980105449,5.568074253,15.86297664,2.006094034,28.94018024,26.83777579,2.102404448,Validation
SOIL_051,CH,87.39103026,97.19522243,0.039406906,0.134410259,0.662744938,16.81798945,0.691745076,56.75927761,26.02895744,30.73032017,Train
SOIL_052,GP,2.851880867,45.4417416,0.519529688,1.287168414,1.290199221,2.483398448,2.471744649,36.6592827,25.93509495,10.72418775,Train
SOIL_053,GC,21.77434368,12.36916436,1.556331872,3.483425119,2.930557305,1.88298997,2.660483249,24.5652686,14.15047392,10.41479469,Train
SOIL_054,SP,1.445841534,96.13036253,0.457494256,1.285683592,1.023848399,2.237948095,3.528961351,23.16883824,19.0504742,4.118364047,Train
SOIL_055,GW,3.778618326,34.18006804,1.05140875,5.119730972,9.133830133,8.687230477,2.729416193,38.07504895,30.95661182,7.118437131,Validation
SOIL_056,CL,82.76178789,76.83217354,0.04698798,0.215639062,1.04667473,22.27537208,0.945488735,45.77459248,20.28986095,25.48473154,Test
SOIL_057,CL,62.32088162,96.31192255,0.043968559,0.24962793,0.676601409,15.38830076,2.094648819,46.84875967,25.30730088,21.54145879,Train
SOIL_058,SW,3.685305588,72.78108754,0.224196849,0.96001234,1.730897572,7.720436649,2.374940628,40.68459911,34.79825536,5.886343747,Train
SOIL_059,CL,76.82958192,70.43053671,0.017665236,0.051780852,0.093628005,5.300127632,1.621112546,34.08913074,20.22168032,13.86745042,Train
SOIL_060,MH,70.78017546,95.13121889,0.027738796,0.057746671,0.199072279,7.176673316,0.603886754,52.21182232,35.04415151,17.16767081,Test
SOIL_061,GW,1.699966015,24.15377886,0.576949018,3.006734905,6.380871765,11.05968043,2.455685936,35.95432256,22.19604711,13.75827546,Train
SOIL_062,ML,97.53067992,86.65075166,0.006979836,0.014374517,0.035208862,5.044368313,0.840793509,27.26188213,24.54189264,2.719989494,Train
SOIL_063,CH,75.52355459,76.40677846,0.022942279,0.08251541,0.126960615,5.533914706,2.337569612,73.69580155,30.18624361,43.50955794,Train
SOIL_064,MH,83.90074971,94.76440412,0.04458915,0.095742432,0.302424438,6.782466913,0.679771304,51.53008983,43.09473012,8.435359706,Train
SOIL_065,CH,65.66727228,86.30752503,0.053382127,0.218346119,0.339142865,6.353116381,2.633373112,64.75152083,25.40325277,39.34826806,Train
SOIL_066,CH,84.37694132,96.3388508,0.056343438,0.12603583,0.470361492,8.348114852,0.599394764,65.19921032,28.34373432,36.855476,Train
SOIL_067,GM,18.74266997,15.39679008,0.254339245,0.647715775,0.688898285,2.708580367,2.394420752,23.11561805,20.68143582,2.434182233,Train
SOIL_068,CH,84.86554692,99.91219913,0.013574026,0.041220267,0.078856143,5.809340916,1.587367214,84.69048709,46.76934982,37.92113727,Train
SOIL_069,ML,76.01435066,73.28572515,0.023785743,0.117320676,0.406100207,17.07326153,1.424948555,29.49416544,23.93695378,5.55721166,Train
SOIL_070,SM,12.63591375,75.71434913,0.477125695,1.129050117,1.134848069,2.37850965,2.354268067,32.51141348,25.99882813,6.512585343,Test
SOIL_071,CH,85.04141619,70.09507393,0.045935093,0.256992724,0.574281202,12.50201468,2.503643328,69.49445864,27.3006262,42.19383244,Train
SOIL_072,GP,2.705502633,14.04519693,0.672829865,0.805883788,1.653449099,2.457454975,0.583779377,28.48048544,18.83686725,9.643618197,Validation
SOIL_073,CH,95.92308656,74.28707817,0.04475184,0.157667518,0.7202746,16.09485999,0.771214991,57.05434914,22.37735755,34.67699159,Test
SOIL_074,SM,20.41746691,69.7397503,0.096093432,0.397090457,0.374216972,3.894303338,4.384920434,31.89090549,28.02535714,3.865548351,Train
SOIL_075,GW,0.594529715,46.67073167,0.735877022,2.833367323,4.865693336,6.612101198,2.242104169,33.20935052,17.4127745,15.79657602,Test
SOIL_076,SC,15.05616633,84.65408359,0.392349707,0.914589203,0.67483196,1.719975693,3.159243966,41.39728583,19.16094775,22.23633808,Validation
SOIL_077,SM,17.68522629,65.64433594,0.294743074,0.750174797,0.546882352,1.855454461,3.491302029,44.30063485,38.71113363,5.589501225,Train
SOIL_078,CH,62.18490161,93.79567885,0.025654459,0.074622946,0.262043842,10.21435842,0.828338708,60.3662929,27.14872651,33.21756639,Train
SOIL_079,GM,14.57105634,31.63181816,0.657132582,0.813128403,1.583273704,2.40936722,0.635490793,23.2588163,20.59613423,2.662682069,Test
SOIL_080,MH,64.21318671,86.89981597,0.019057896,0.050995037,0.165280682,8.672556553,0.825579256,65.68698327,61.93365408,3.75332919,Train
SOIL_081,GM,20.43384647,9.11415201,1.074679361,2.150673951,3.99084687,3.71352332,1.078462819,42.51190058,35.50209734,7.009803235,Train
SOIL_082,SC,17.68726335,62.00394884,0.203708662,0.54293578,0.47488963,2.33121962,3.047156381,22.65689439,12.73715772,9.919736667,Train
SOIL_083,SC,13.79425098,68.26222781,0.387477814,1.181993806,0.897614512,2.31655718,4.016924741,42.22119274,21.63564564,20.58554709,Test
SOIL_084,SP,3.462730063,71.85700262,0.519322835,2.481932205,2.653189925,5.108941387,4.47068499,29.20451534,25.38994419,3.814571158,Test
SOIL_085,ML,97.25971471,70.88233718,0.036349867,0.170539142,0.580790939,15.97780082,1.377607461,32.28680635,28.6384455,3.648360855,Validation
SOIL_086,GM,16.29616997,13.49947893,1.14640094,1.380856834,1.976721766,1.724284844,0.841424647,41.35419084,28.53370059,12.82049025,Train
SOIL_087,SP,3.13640554,67.75065058,0.540566519,1.872776167,1.507377458,2.78851428,4.304280721,32.39301542,21.75561595,10.63739947,Train
SOIL_088,GM,17.45987501,48.2769612,1.594043791,3.457677085,3.920563615,2.459508099,1.913022642,42.94890812,34.81016915,8.138738973,Train
SOIL_089,GP,1.462504167,24.27838045,1.606458608,2.015086701,3.759363156,2.34015563,0.672362763,44.20349321,16.79828439,27.40520881,Train
SOIL_090,MH,83.08700997,83.42173581,0.042853414,0.154841322,0.336558904,7.853724449,1.662368239,51.38281421,30.9129551,20.46985911,Validation
SOIL_091,CL,95.43445155,75.43279423,0.009666643,0.054026246,0.140664379,14.55152348,2.146593361,48.03467647,22.08046936,25.95420712,Train
SOIL_092,SP,2.60782233,80.36158708,0.349487008,1.219415054,1.418851436,4.059811671,2.99871467,22.03253134,16.60188043,5.430650908,Train
SOIL_093,MH,70.90676716,93.96527978,0.016065928,0.068582422,0.214821026,13.37121766,1.362834214,70.65762186,40.86867408,29.78894778,Train
SOIL_094,CH,86.00755133,73.28487523,0.021029391,0.079268307,0.335659233,15.96143408,0.890171893,57.94349049,27.37990347,30.56358702,Train
SOIL_095,SP,0.585067555,69.40157041,0.573601206,1.370678437,1.93348384,3.370780639,1.694027899,27.76223008,19.89994687,7.862283212,Train
SOIL_096,SP,1.63819718,62.84712007,0.482603873,1.904830821,2.065897578,4.280731448,3.639261215,30.95474791,18.39404914,12.56069877,Train
SOIL_097,GM,19.41787123,11.58264537,0.338723278,0.409172415,0.829255506,2.448179855,0.596045326,37.18857144,32.24545315,4.943118297,Train
SOIL_098,SW,2.510242427,95.52158479,0.313756897,1.659331193,5.900331453,18.80542394,1.487292763,43.17442968,39.09754465,4.076885027,Test
SOIL_099,SC,13.88988367,60.64128936,0.587221593,1.733374235,1.898297212,3.232676103,2.695370353,23.2886259,15.14672812,8.141897778,Train
SOIL_100,GP,2.225293815,37.44143871,1.264554708,1.508307581,1.926591302,1.523533375,0.933797292,29.61298708,20.77605796,8.836929113,Test
SOIL_101,GM,16.24572338,35.32978546,0.246166215,0.736163346,0.800178125,3.250560298,2.751270284,23.89269874,21.32196155,2.570737187,Train
SOIL_102,SW,2.835433581,64.12538439,0.535850348,3.430393913,7.988344937,14.90779088,2.749081779,43.22011962,33.92443808,9.295681542,Train
SOIL_103,MH,91.98823032,83.68809189,0.014882944,0.040814428,0.102711664,6.901300268,1.089729775,58.77882801,54.11274537,4.666082643,Test
SOIL_104,CL,64.67333485,88.79760001,0.022456709,0.117799291,0.441919634,19.6787358,1.39828581,42.50501169,23.50141253,19.00359916,Train
SOIL_105,ML,56.96142984,70.50427473,0.012683987,0.072824827,0.192679398,15.19075937,2.170040508,47.49661232,43.80039839,3.696213933,Train
SOIL_106,SC,13.90535019,84.08478371,0.309675914,1.333975217,1.498533608,4.839038298,3.834613593,38.07395296,18.2594146,19.81453836,Train
SOIL_107,SM,18.12206558,92.2154822,0.487764987,1.314060921,1.446873296,2.966332836,2.446751577,43.06382542,28.08571618,14.97810924,Train
SOIL_108,SW,4.128523396,81.45500274,0.123959199,0.779326222,2.166108304,17.47436516,2.261932555,41.79401652,30.48719171,11.30682481,Train
SOIL_109,GW,4.11881629,9.111621074,1.981525102,5.75778975,9.789752766,4.940514131,1.708993072,38.79148529,22.53347748,16.25800781,Train
SOIL_110,GC,13.59505741,29.0550823,1.489043944,5.792613894,5.357236677,3.59776936,4.206305531,35.49338126,20.84513167,14.64824959,Train
SOIL_111,SW,1.212214897,84.93090526,0.254050957,1.419514652,4.453994564,17.53189449,1.780775788,27.24530399,16.58359397,10.66171002,Train
SOIL_112,ML,93.06044188,96.42216904,0.010845594,0.053426753,0.21086676,19.44262021,1.248119305,36.08611848,30.53125016,5.554868325,Test
SOIL_113,GC,13.88385305,10.49998058,1.613846363,3.501627912,3.540007865,2.193522225,2.146216731,31.43053891,17.2457699,14.18476901,Validation
SOIL_114,MH,90.66760518,94.59543681,0.006769986,0.025025688,0.037827258,5.587494234,2.445566289,71.22029363,59.66960857,11.55068506,Train
SOIL_115,MH,82.69551298,75.7137106,0.029075884,0.094097788,0.425163346,14.62254254,0.716258997,51.26335207,47.11958527,4.143766802,Train
SOIL_116,SM,16.86877283,79.1872932,0.108564949,0.296140633,0.246407864,2.269681572,3.278323499,42.49272951,33.78064177,8.712087737,Train
SOIL_117,ML,64.54775058,90.49750752,0.003729023,0.01837345,0.047669106,12.78326958,1.899106755,41.30677936,27.12200917,14.18477018,Train
SOIL_118,SC,12.5871451,90.56910241,0.45273776,1.059303691,1.230825126,2.718627061,2.013714513,42.23253817,22.36963751,19.86290066,Train
SOIL_119,SW,3.18739582,83.38297902,0.565291372,3.767528704,9.220938231,16.31183259,2.723113039,36.56596911,26.90592698,9.660042134,Train
SOIL_120,GW,2.166283849,29.95018937,1.593581884,8.802303928,18.62655477,11.68848301,2.610272225,36.2815157,18.93005736,17.35145834,Train
SOIL_121,GC,20.21594764,25.78261938,1.09269046,1.819073252,2.369015328,2.168057117,1.27830755,39.36530479,22.84817476,16.51713004,Train
SOIL_122,MH,76.0358179,95.40564639,0.049186335,0.093282303,0.299682244,6.092794759,0.590327542,50.9062462,40.72359817,10.18264803,Train
SOIL_123,ML,80.19554876,93.12365599,0.049396445,0.273222232,0.874704643,17.70784601,1.727726301,46.94752873,29.82802039,17.11950835,Train
SOIL_124,SM,19.9102384,92.38266821,0.18634129,0.4308833,0.450015892,2.415008996,2.214024263,30.40460305,24.74182696,5.66277609,Train
SOIL_125,ML,70.95245375,81.37464846,0.043113336,0.09233818,0.183740152,4.261793907,1.076333653,44.05871099,36.41399267,7.644718319,Train
SOIL_126,SW,2.126395726,75.34010089,0.501045836,3.004921524,6.823417899,13.61835068,2.64111214,27.48786375,21.67806641,5.809797336,Train
SOIL_127,SC,15.70960087,79.86956722,0.230808661,0.636571569,0.496939395,2.153036169,3.532961844,43.66794911,23.03689938,20.63104973,Train
SOIL_128,GW,1.013377606,34.41808269,0.70398514,1.709515545,3.340682518,4.745387836,1.242645961,34.75970126,19.88319297,14.87650828,Train
SOIL_129,GC,15.25497609,7.5193106,0.892371036,1.752715466,1.551355141,1.738464247,2.219045172,40.35268688,21.71572228,18.6369646,Test
SOIL_130,SM,16.77910351,77.29600761,0.392311901,1.352843816,1.186315956,3.02391019,3.932452327,39.19501447,28.03101464,11.16399984,Train
SOIL_131,SC,15.83916559,53.62989763,0.543774324,1.422300438,2.091660214,3.846559357,1.778577748,30.12359169,17.14748159,12.9761101,Train
SOIL_132,ML,77.50400094,88.28470218,0.024248517,0.144061009,0.595750224,24.56852199,1.436625296,40.56392804,36.70716758,3.856760454,Train
SOIL_133,SM,17.79347462,55.15090076,0.48501755,1.652378876,1.923335059,3.965495806,2.926893146,24.12247815,21.54341529,2.579062861,Test
SOIL_134,GW,3.059652663,12.8731318,1.041083122,3.665785759,7.57778789,7.278753953,1.703359468,40.18191965,36.07782786,4.104091794,Train
SOIL_135,SW,2.259375668,91.70405993,0.393762519,1.906758341,7.47225596,18.97655467,1.235677661,36.00485094,29.98099329,6.023857654,Train
SOIL_136,MH,71.84716816,93.98536218,0.008903335,0.017014765,0.032847516,3.689349606,0.989912097,73.54974646,60.91786613,12.63188034,Train
SOIL_137,SW,2.808452095,61.70623118,0.560171856,3.043840733,6.772352684,12.08977676,2.442209955,24.96229413,21.72813226,3.23416187,Test
SOIL_138,CL,68.44777656,95.96433743,0.059746688,0.263424085,0.659276401,11.03452632,1.761690426,40.93659757,19.61422367,21.3223739,Train
SOIL_139,SM,18.97343437,79.58771866,0.114280245,0.322521793,0.328689058,2.876166914,2.769247176,32.16519532,28.20350354,3.961691784,Train
SOIL_140,MH,75.22986321,91.23662637,0.052776934,0.207418359,1.011519523,19.1659394,0.805890357,66.77097049,35.05334071,31.71762978,Train
SOIL_141,SW,1.55347464,55.0562027,0.334535345,2.00308572,5.7083618,17.06355362,2.101094418,34.44213795,29.09776015,5.344377801,Train
SOIL_142,CL,67.11541658,96.53056063,0.043713877,0.118178624,0.463365178,10.59995601,0.689501371,38.76634566,19.25097634,19.51536932,Train
SOIL_143,GW,2.165082572,30.3958102,0.203244236,0.925425208,2.124965839,10.45523296,1.982953176,29.51052727,21.75474592,7.75578135,Train
SOIL_144,SW,1.152660792,52.36047069,0.399357782,2.030224139,4.911902621,12.29950397,2.10124201,24.96013875,22.00301991,2.957118835,Train
SOIL_145,SW,3.598932195,57.97615797,0.275789242,1.325832568,5.253941491,19.05056719,1.213150865,34.22579781,28.28676415,5.93903366,Validation
SOIL_146,SP,2.409809256,74.82170523,0.190379052,0.831610163,1.046460952,5.496723187,3.47134188,30.87988582,26.23779101,4.642094809,Train
SOIL_147,GW,4.268483478,13.28331509,1.617907927,7.350746739,15.03472797,9.292696892,2.221332355,34.55938529,31.18931639,3.370068899,Train
SOIL_148,SC,18.35486517,76.62904786,0.081086291,0.347085915,0.34589579,4.265773996,4.295179034,31.23909795,16.16942921,15.06966874,Train
SOIL_149,GP,3.959071917,13.93628572,1.225051215,2.787577542,3.21132914,2.621383581,1.975217155,28.7911114,23.32532795,5.465783443,Train
SOIL_150,GP,0.903923168,21.17789469,0.680958077,1.722195282,2.453661566,3.603249081,1.775128326,35.47545883,20.17217457,15.30328427,Train
SOIL_151,SP,3.861448846,88.64408358,0.537334725,2.305792001,2.427442925,4.517561983,4.076113999,43.33484263,29.60893877,13.72590386,Train
SOIL_152,SP,4.267017534,82.19165174,0.597505602,2.449907642,2.699868569,4.518566121,3.720615754,44.10370172,34.77698304,9.326718679,Test
SOIL_153,ML,62.37216894,93.23693218,0.02530929,0.070325654,0.231927721,9.163738865,0.842548569,29.57327242,25.70852607,3.864746351,Train
SOIL_154,CL,94.54454003,94.7954469,0.056485973,0.255193168,0.578215715,10.2364478,1.993919319,39.3589566,21.27680072,18.08215588,Test
SOIL_155,GC,13.21434705,26.30176007,1.922315899,3.749206193,2.940936113,1.529892207,2.486384577,41.27619179,23.99046434,17.28572745,Train
SOIL_156,SW,3.430695601,72.4890706,0.449662384,2.284796638,4.834383277,10.75114007,2.401416356,44.17639115,25.21681894,18.95957221,Validation
SOIL_157,GW,3.803581034,27.66676264,1.007084982,3.350978555,7.090979418,7.0410934,1.572428666,27.20566031,20.84049124,6.365169064,Test
SOIL_158,GW,1.363162304,44.13792772,1.370298905,6.853580058,13.53918186,9.88045879,2.531787481,29.90706756,24.20152509,5.705542463,Train
SOIL_159,GC,16.33637029,22.39547945,1.407820359,3.932332386,2.743014683,1.948412428,4.004285795,29.47702683,15.75697939,13.72004743,Train
SOIL_160,MH,73.43026812,77.08363538,0.008018983,0.046719787,0.162718863,20.29170848,1.672801938,61.48766322,38.08487362,23.4027896,Train
SOIL_161,GM,15.22126284,25.57880371,1.128393979,2.116350422,3.39938565,3.012587548,1.167653435,39.87212748,28.47673696,11.39539052,Train
SOIL_162,ML,84.42126264,71.66292392,0.055553296,0.147855686,0.34270789,6.168992948,1.148265001,27.138387,23.94236108,3.19602592,Train
SOIL_163,GC,15.79820315,13.30634846,1.11654935,4.177348304,3.880394528,3.475345293,4.027611474,24.34834975,14.94482093,9.403528821,Train
SOIL_164,ML,88.78877327,86.03385057,0.007581362,0.022975717,0.04530524,5.975870694,1.536888835,42.88490237,35.26956358,7.615338793,Test
SOIL_165,GM,12.58750125,19.77067168,1.160041567,2.153749649,2.245845209,1.936004081,1.78047987,35.02833016,29.70923804,5.319092119,Test
SOIL_166,SC,18.29941387,57.79923398,0.504109152,0.97275324,1.223599077,2.427250276,1.534057539,32.29296508,16.73385264,15.55911244,Test
SOIL_167,GC,18.2133397,31.79194368,1.933845662,2.913176062,3.299387612,1.70612768,1.330081691,37.21572032,21.46576819,15.74995212,Train
SOIL_168,GC,17.4132246,45.9014595,0.615581052,1.219502163,1.112473672,1.807192844,2.171651665,37.73240224,23.95678723,13.77561501,Train
SOIL_169,MH,68.99229167,71.47088748,0.006132981,0.033388148,0.12951102,21.11713892,1.403480213,69.04556941,44.37610359,24.66946583,Test
SOIL_170,ML,93.08085152,79.22313465,0.021775342,0.115198157,0.479602691,22.0250355,1.270704182,32.74339729,27.47663943,5.266757857,Train
SOIL_171,ML,68.93484572,91.52158512,0.028790982,0.13377903,0.527934207,18.33679047,1.177442757,48.54869034,34.21722853,14.33146181,Train
SOIL_172,GC,21.34924493,7.604564455,1.785143146,2.709168416,5.149983009,2.884913191,0.798349697,23.92343598,13.25385105,10.66958493,Train
SOIL_173,GP,2.137444135,31.59362666,0.383034363,1.21527312,0.885579812,2.312011398,4.353938992,26.98004054,17.02047379,9.959566748,Train
SOIL_174,ML,79.08473013,91.68656115,0.010634927,0.0527982,0.09713667,9.133740982,2.698488054,39.09065388,26.56467877,12.52597511,Validation
SOIL_175,CL,94.64192551,97.18348975,0.059072461,0.343368552,0.943550927,15.97277155,2.115293438,28.17940336,15.64103407,12.53836929,Train
SOIL_176,CH,68.3375006,81.60009788,0.015994849,0.076962593,0.176132969,11.01185536,2.10251241,72.70971481,29.4301075,43.27960731,Validation
SOIL_177,GW,2.897263969,15.26358107,1.665637511,5.728435148,9.178846768,5.510710887,2.146364066,31.26516994,26.16160225,5.10356769,Train
SOIL_178,SC,18.59946092,94.37953342,0.368907912,0.642249219,0.731596551,1.983141395,1.528331452,40.37311848,23.72078761,16.65233087,Train
SOIL_179,MH,58.78163053,97.01725724,0.040555432,0.181775462,0.896186167,22.0978083,0.909124254,63.96484189,34.74558742,29.21925446,Train
SOIL_180,SM,17.72695348,51.92428165,0.259288556,0.797541078,1.395264829,5.381127687,1.758191298,28.91518742,24.2763171,4.638870321,Train
SOIL_181,GC,21.47386249,34.72245336,1.960644547,5.922732026,4.216947999,2.15079679,4.242746223,38.7966491,17.99786801,20.79878109,Test
SOIL_182,GC,18.22245543,42.11528452,1.73929138,3.478843855,4.998198625,2.873698267,1.392143542,33.56560913,19.15359961,14.41200952,Train
SOIL_183,GP,1.010625551,34.39111667,1.62165689,2.833490725,4.00999408,2.472775903,1.234641548,39.43974001,27.88367353,11.55606648,Train
SOIL_184,GM,19.34232252,18.92505665,0.334687597,0.697613887,1.071770718,3.202301875,1.35671532,41.99968578,27.70731651,14.29236927,Train
SOIL_185,SP,2.571026094,78.7382541,0.275652176,0.780171115,0.499227402,1.811077313,4.423030085,22.3613741,20.01144508,2.349929022,Train
SOIL_186,SP,4.313750769,81.34843316,0.344954083,1.116644273,0.849615968,2.46298278,4.254472581,23.16556071,19.01331142,4.152249296,Train
SOIL_187,GP,1.743172047,23.52367912,1.234999116,3.935493714,4.624347524,3.744413631,2.711947858,42.40127937,16.37266696,26.02861242,Train
SOIL_188,MH,57.84913538,93.93298466,0.01151488,0.052614822,0.091175555,7.918063908,2.636807269,52.01369702,30.85908153,21.1546155,Train
